"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"17","ENSXETG00000003047",14876.488152469,29.2807143437824,3.4314048075016,8.53315653104236,1.42407799247447e-17,6.80139649205807e-14,""
"83","ENSXETG00000017451",9137.08163715426,29.0774272075817,3.38380281799569,8.59312104503921,8.46382924569658e-18,6.80139649205807e-14,"cat2"
"79","ENSXETG00000016334",4420.98736621634,28.1550151895687,3.57001362886734,7.88652876893957,3.1070795199873e-15,9.89294119163956e-12,""
"75","ENSXETG00000015647",2134.26118000839,27.07297345055,3.5045509934192,7.7250904613422,1.11773937241978e-14,2.66916162133843e-11,"5S_rRNA"
"76","ENSXETG00000015972",936.925809973513,26.7325398981596,3.60775704205395,7.40973951032478,1.26547734305116e-13,2.41756791616493e-10,""
"12","ENSXETG00000002923",617.438690978589,24.930584084673,3.44795577992755,7.23054055095707,4.81075312545683e-13,7.65871897572728e-10,""
"13","ENSXETG00000002925",135.389906362759,24.1995068738703,3.99141509794251,6.06288904562811,1.33697902186072e-09,8.72314692288398e-07,"5_8S_rRNA"
"58","ENSXETG00000011440",272.640036453155,23.9821635776267,3.48432929139476,6.88286369398422,5.86611527989413e-12,8.00473330764982e-09,"cyp46a1.3"
"33","ENSXETG00000006053",85.9618453096884,23.844999028566,4.12708104523389,5.77769100417911,7.57327264216375e-09,2.78230385684416e-06,"slc25a45"
"69","ENSXETG00000014879",98.8561221061417,23.8377323356374,4.07790374847643,5.84558484111929,5.04791574674871e-09,2.22180893588624e-06,"5S_rRNA"
"1","ENSXETG00000000169",96.7070759733995,23.8114153177536,4.08512532017973,5.82880902089584,5.58243451227699e-09,2.22180893588624e-06,"CSMD3"
"73","ENSXETG00000015367",96.7070759733995,23.8114153177536,4.08512532017973,5.82880902089584,5.58243451227699e-09,2.22180893588624e-06,"5S_rRNA"
"3","ENSXETG00000000296",88.1108914424306,23.7617251429346,4.11794732933986,5.77028389208266,7.91380955203427e-09,2.79972995707523e-06,"med25"
"70","ENSXETG00000014956",180.642149532859,23.7078748528618,3.7919683395815,6.25212890239435,4.04894982411699e-10,3.51596079272414e-07,"flnc"
"94","ENSXETG00000020533",90.2599375751729,23.5631513267646,4.10925835970678,5.73416156010351,9.79958888841199e-09,3.22778182972798e-06,"golm1"
"63","ENSXETG00000013265",126.004688724801,23.3382312363998,3.58711193111797,6.50613409465763,7.7109400863578e-11,8.18387774498774e-08,""
"77","ENSXETG00000016252",146.624234556524,23.3329475365106,3.82075059265222,6.10690150290962,1.01583884568033e-09,7.46407127226043e-07,"5S_rRNA"
"72","ENSXETG00000015324",129.065042347046,23.3144760703497,3.84791846417168,6.05898391232376,1.36984091125691e-09,8.72314692288398e-07,"5S_rRNA"
"53","ENSXETG00000010891",120.468857816077,23.2093914518116,3.86252900477813,6.00885881325436,1.86833735682785e-09,1.11248996480749e-06,"tcte1"
"19","ENSXETG00000003422",105.425534886882,22.8909239208335,3.89430651305863,5.87804885005181,4.15130425690105e-09,1.98266291309594e-06,""
"25","ENSXETG00000004754",178.102477344218,22.8591673307746,3.39835123224899,6.7265464245868,1.7373723430909e-11,2.07442257765053e-08,"hsd17b7"
"36","ENSXETG00000007061",96.8293503559129,22.8403608830763,3.91698041379355,5.83111439685645,5.50584204023175e-09,2.22180893588624e-06,"5S_rRNA"
"18","ENSXETG00000003210",92.7758068554552,22.7282630978442,3.92629609885487,5.78872874729775,7.09211183114188e-09,2.70975408844269e-06,"PKHD1"
"32","ENSXETG00000005904",88.4777145899707,22.6181174198411,3.94063458664297,5.73971448570915,9.48363020054983e-09,3.22778182972798e-06,""
"23","ENSXETG00000004237",106.908482981612,22.4832811773579,3.74756034391294,5.99944473579374,1.97993398259289e-09,1.11248996480749e-06,""
"45","ENSXETG00000009157",95.2810142479432,22.4080499925372,3.77736118756016,5.93219681144944,2.98908012998153e-09,1.56105882283073e-06,"slc7a14"
"30","ENSXETG00000005559",80.759158945144,22.0206707463797,3.5550550685361,6.19418555320646,5.85871759972111e-10,4.66353920937801e-07,"HS3ST6"
"82","ENSXETG00000016950",45.9295122096473,21.7634455122715,3.96240847142793,5.49247904884187,3.96330581234384e-08,1.26191657065028e-05,"bsx"
"50","ENSXETG00000009823",81.0795524415601,21.6811663250463,3.65868687409355,5.92594203088721,3.10512119281657e-09,1.56105882283073e-06,"dhdh"
"91","ENSXETG00000019063",166.975567860455,20.9572692161201,3.30243197639665,6.34601086893151,2.20969630044496e-10,2.11070190618502e-07,"IHH"
"78","ENSXETG00000016290",2379.44625767571,15.818692925701,3.27017750281001,4.83725819534514,1.31642380563842e-06,0.000405628393272844,"copg2"
"81","ENSXETG00000016940",1982.21434342385,15.5554744808368,3.37934965276661,4.60309706872204,4.16254099472318e-06,0.00120486641156351,"COCH"
"35","ENSXETG00000006805",6538.26734109942,14.8341036113762,3.17112337885959,4.67787021793865,2.89869906725896e-06,0.0008652616715768,""
"61","ENSXETG00000012679",700.14533170943,14.0353617489127,3.19806640812482,4.38870240882281,1.14028976789694e-05,0.00311201367512902,"fam110d"
"27","ENSXETG00000005357",369.145163855675,13.1337068032004,3.06185596376875,4.28945938627189,1.79108561228325e-05,0.00462390534284585,"nt5dc3"
"37","ENSXETG00000007196",270.43980876377,12.5012404575865,3.02516062208622,4.13242204936722,3.58960521553812e-05,0.00857197725470502,"trpt1"
"97","ENSXETG00000021089",923.029422237562,12.4201038381957,2.84972113427368,4.35835762623185,1.31042126945656e-05,0.00347698443495806,"uchl1"
"64","ENSXETG00000013271",802.549639375878,12.3949614824728,3.05914434440695,4.0517739887412,5.08307550854974e-05,0.011034894831288,"arel1"
"57","ENSXETG00000011401",198.051231778429,12.2377846661006,3.11691698444162,3.92624658506678,8.62817040664702e-05,0.0171365889645988,"stn1"
"8","ENSXETG00000001797",177.582921924653,12.0660016262,3.36316449121826,3.58769297716665,0.000333616801241696,0.0420136327439886,"CACNA1C"
"21","ENSXETG00000003886",162.877087071332,11.9471214293401,3.22330412050852,3.7064828457624,0.000210157463654022,0.0319533432827072,"COL6A6"
"2","ENSXETG00000000292",160.142659039895,11.9134395509821,3.32111977559188,3.58717551788957,0.000334279322502422,0.0420136327439886,"plekhg3"
"80","ENSXETG00000016466",302.326290582671,11.8352861474839,2.91381819245309,4.06177920713716,4.87001265738625e-05,0.0108182234658962,"phgdh"
"26","ENSXETG00000004839",146.067612869083,11.7813082741621,3.34737338586559,3.51956800633868,0.000432250205268701,0.0474580915026049,"maob"
"24","ENSXETG00000004436",147.295465407654,11.7782452439809,3.05338569351923,3.85743775147047,0.000114581847103587,0.0214605059516365,"e2f8"
"54","ENSXETG00000011085",142.642838088006,11.7058060376238,3.31069412548271,3.53575582459375,0.000406610334732129,0.0460541807077569,"sptlc2"
"92","ENSXETG00000019387",129.538860708115,11.6224818527187,3.14634221951367,3.69396621277745,0.000220783150822725,0.0319533432827072,""
"34","ENSXETG00000006518",128.147638626931,11.569164292826,3.17130801795451,3.64807335879285,0.000264214205654681,0.036576436121935,"KNTC1"
"89","ENSXETG00000018732",123.905874659886,11.5099911935582,3.27835912197603,3.51090004642949,0.000446592284326021,0.0476097680185839,"srcin1"
"9","ENSXETG00000002038",120.192573929398,11.4952946886402,3.03048579057278,3.7932184748728,0.000148707209043076,0.026231596718957,"ggnbp2"
"48","ENSXETG00000009447",388.795472433331,11.396519247938,2.90597672391083,3.92175173123915,8.79075438929377e-05,0.0171365889645988,"nufip2"
"52","ENSXETG00000010506",132.379414008688,11.3814628479559,3.15328157558346,3.60940264138954,0.000306902930792668,0.0401580382867337,""
"86","ENSXETG00000018258",194.278684251902,11.374799673674,2.95961750683874,3.84333436580586,0.000121373925494783,0.0222954564678109,"ahcyl2"
"59","ENSXETG00000011555",165.178780094176,11.2781749566867,2.99191066933776,3.76955604733447,0.000163538182586785,0.0277073943155017,"pltp"
"10","ENSXETG00000002051",109.831965334495,11.2726027683561,3.21790282013958,3.50308986890635,0.000459894272637409,0.0476097680185839,"LAMA5"
"95","ENSXETG00000020864",108.522767275279,11.2627054486066,3.1628580902917,3.5609265819346,0.000369548411038304,0.0443829059041777,"ppp2r2b"
"16","ENSXETG00000003014",122.876412209959,11.250753489862,3.23356833679529,3.47936159623962,0.000502609911602677,0.0489890803635588,"CAMSAP1"
"39","ENSXETG00000007381",108.938349822858,11.2262825061977,3.02433240845498,3.71198697431966,0.000205638572337383,0.0319533432827072,"vsnl1"
"49","ENSXETG00000009820",127.724832086157,11.149770535838,2.98979763829303,3.72927264140986,0.000192033286323182,0.0305716991826505,""
"43","ENSXETG00000008185",189.356789742872,11.1373937859483,2.93912837251919,3.7893526155859,0.000151040391493157,0.026231596718957,"aebp2"
"66","ENSXETG00000013318",108.363028388599,11.0984011947372,3.0747548683001,3.60952390356668,0.000306759506641698,0.0401580382867337,"mlnr"
"98","ENSXETG00000021346",113.602245645456,11.0928816791612,3.14682558313102,3.52510216601329,0.000423319494478657,0.0470179978053504,"SLC7A1"
"74","ENSXETG00000015591",106.99039448769,11.0687315438262,3.04880042592937,3.63052020384449,0.000282850561453619,0.0385969794714996,"ate1"
"46","ENSXETG00000009356",97.0851418450212,11.015930035641,3.14652067328335,3.5009876557226,0.000463537314251288,0.0476097680185839,"yipf2"
"84","ENSXETG00000017499",146.174978606324,11.0046091022512,2.97708290897067,3.69644025334049,0.000218643684627439,0.0319533432827072,"trib1"
"7","ENSXETG00000001357",112.710265515554,11.0028485426436,3.03693633301718,3.6230092883483,0.000291195361482582,0.039176029477206,"eml1"
"5","ENSXETG00000000958",443.064688808586,10.9471274526194,3.08496743872156,3.54853905918565,0.00038737454083108,0.0446080060885208,""
"60","ENSXETG00000011632",86.001435243302,10.8894904203581,3.11605358039945,3.49464158410337,0.000474698756691807,0.0482374736587249,""
"51","ENSXETG00000010267",113.369539411019,10.8816262883564,3.12647044583553,3.48048269666223,0.000500511152726616,0.0489890803635588,"ULK4"
"67","ENSXETG00000013342",119.00229187966,10.7487851700128,3.08879438686343,3.47992900263194,0.000501546673697538,0.0489890803635588,"lima1"
"4","ENSXETG00000000616",333.307713513057,10.7212963364788,2.97725124866102,3.60107207656748,0.000316907697707984,0.0409067882230631,"COL22A1"
"15","ENSXETG00000002993",392.970628935661,10.7179333986376,2.75949172539057,3.88402447451466,0.000102741558812702,0.0196277473955785,"RYR1"
"44","ENSXETG00000008477",8813.02133297835,10.6722175688504,2.50075380420612,4.26760025353168,1.97586982461207e-05,0.00484534320239001,"nphp3"
"14","ENSXETG00000002952",149.698783752459,10.5697035293558,2.96725390660643,3.56211630754715,0.000367877331550258,0.0443829059041777,"MUL1"
"62","ENSXETG00000013238",406.614593758028,10.5336780374665,2.98093910425974,3.53367769989464,0.000409820494154035,0.0460541807077569,"fos"
"88","ENSXETG00000018718",6817.83586454017,10.2958926513892,2.41272780253364,4.26732457783979,1.97831223715672e-05,0.00484534320239001,"hnrnpul1"
"38","ENSXETG00000007344",1647.48016074138,10.2224450589307,2.5001273629373,4.08876972048366,4.33667097474411e-05,0.0101033856465258,"cldn8.4"
"42","ENSXETG00000007941",825.965566702034,9.93225029282094,2.25717010920632,4.40031092575179,1.08095879073057e-05,0.0030368583438407,"enpp2"
"11","ENSXETG00000002776",1040.23183385336,9.85454597062372,2.62742490974784,3.7506479953292,0.000176378164476813,0.0290476590876297,"ptpn4"
"71","ENSXETG00000015091",227.211912862686,9.84183465857506,2.77361502091479,3.54837804971544,0.000387611443189617,0.0446080060885208,"osbpl1a"
"90","ENSXETG00000019012",6347.97063497117,9.82594742582951,2.41712704899791,4.06513485913085,4.80046961007908e-05,0.0108182234658962,"elmod3"
"29","ENSXETG00000005422",5181.27816597151,9.79567754145622,2.4693749890241,3.96686513186379,7.28241738190791e-05,0.0148003512408477,"ret"
"85","ENSXETG00000017636",192.029252012749,9.75075514978611,2.77974384382757,3.50778909770326,0.000451847108594232,0.0476097680185839,"mab21l2"
"55","ENSXETG00000011147",5972.47995885634,9.65796771375457,2.74901714937306,3.51324389371568,0.000442670936303397,0.0476097680185839,"crisp1.3"
"22","ENSXETG00000003999",3770.21384504408,9.33166603946418,2.4384276647024,3.82691936059669,0.00012975699941739,0.0233856388383946,"rrm1"
"28","ENSXETG00000005413",7977.81186107315,9.31104339723557,2.61955756065224,3.55443359485379,0.000378794154519467,0.0446080060885208,"klhdc1"
"6","ENSXETG00000001324",10038.7551258438,9.27460661621535,2.33417966091605,3.97339021134968,7.08568259337503e-05,0.0147135739417214,"dgke"
"68","ENSXETG00000013779",10753.5625903519,9.19996428615835,2.46393917330392,3.73384391377732,0.000188579389272194,0.0305306834970847,"ccdc102a"
"56","ENSXETG00000011200",15395.459019001,8.99817505591425,2.23730890557773,4.02187424073685,5.77368834883945e-05,0.0122556158018032,"FNDC1"
"47","ENSXETG00000009374",31953.670374916,8.9914787647633,2.45098641080029,3.66851432759574,0.000243964024510566,0.0347812591361929,"ncf4"
"96","ENSXETG00000020957",3021.54179370956,8.7927098532367,2.37342683674435,3.70464752361937,0.000211684882168633,0.0319533432827072,"grpel2"
"87","ENSXETG00000018479",6186.00079046356,8.47976794418894,2.43628792259092,3.48060993348067,0.000500273475712059,0.0489890803635588,"TMEM14A"
"31","ENSXETG00000005826",1567.09063032487,8.43760203143495,2.37051861815468,3.55939074547458,0.000371716129850734,0.0443829059041777,"entpd5"
"40","ENSXETG00000007440",1473.49831784565,8.42860423012351,2.23759076160727,3.76682116084051,0.000165339350500795,0.0277073943155017,"upf3b"
"41","ENSXETG00000007879",3814.75432903451,8.33133887391143,2.278158738713,3.65704932335754,0.000255135300741705,0.035839005774776,"EXOSC3"
"20","ENSXETG00000003846",7801.03684726369,8.31048867951894,2.24545334355776,3.70102932815855,0.000214726653637646,0.0319533432827072,"chrnb2"
"65","ENSXETG00000013306",18612.6580677198,8.30102099313944,2.3704909164898,3.50181514529131,0.000462100110212755,0.0476097680185839,"ggcx"
"93","ENSXETG00000019513",17066.9019026375,7.5325739260217,2.11141230082289,3.5675523549266,0.000360331399251971,0.0443829059041777,"col6a2"
